,Title,Subtitle,Link
22,Norway doctor gives medical update after boss sparked sickness fears for England,SICK NOTE,https://www.thesun.co.uk/sport/39687353/norway-team-illness-world-cup-ola-sand-england/
23,Footage resurfaces of Tchouameni grilling former Man Utd star about transfer,FOR REAL?,https://www.thesun.co.uk/sport/39688571/manchester-united-real-madrid-tchouameni-varane-transfer-talk/
24,Roy Keane goes full Harry Kane with Man Utd legend's voice going live on TV,ROY'S JOY,https://www.thesun.co.uk/sport/39682589/roy-keane-harry-kane-man-utd-argentina-world-cup/
25,Arsenal to complete shock Illan Meslier signing paving way for goalie to leave,GUNNER JOIN,https://www.thesun.co.uk/sport/39685037/arsenal-complete-illan-meslier-transfer-leeds-exit/
26,'It was a rigged game' – Egypt striker and manager launch staggering attack on referee after World Cup exit vs Argentina,PYRAMID SCHEME,https://www.thesun.co.uk/sport/39682644/mostafa-zico-egypt-argentina-world-cup-referee/
27,Prem icons go wild behind commentator who 'sounds like he's giving birth',GETTING MESSI,https://www.thesun.co.uk/sport/39687295/carlos-tevez-sergio-aguero-lionel-messi-argentina-world-cup/
28,World Cup boss who tormented England quits after nearly a decade in charge,ZLAT'S ALL,https://www.thesun.co.uk/sport/39688882/world-cup-croatia-zlatko-dalic-quits-remarkable-legacy/
29,England rivals speak out over claims stars forced to pay bribes to play,'ZERO TOLERANCE',https://www.thesun.co.uk/sport/39688459/ghana-fa-bribes-allegations-world-cup/
30,Balogun breaks silence on USMNT World Cup exit after red card uproar,'WE WILL BE BACK',https://www.thesun.co.uk/sport/39688297/balogun-breaks-silence-usmnt-world-cup-exit/
31,Get £30 in World Cup free bets when you stake £10 on football with Midnite,GOOD NITE,https://www.thesun.co.uk/sport/39307606/world-cup-free-bets-midnite/
32,"Transfer news LIVE: Liverpool 'want Mexico World Cup star', Everton explore 'Spence deal', Real Madrid eye '£188m' Olise",DEALS ON WHEELS,https://www.thesun.co.uk/sport/39415879/transfer-news-live-chelsea-liverpool-tottenham-updates/
33,Join Sun Vegas now and claim a 100% deposit match bonus and 100 free spins,WELCOME PLAYER,https://www.thesun.co.uk/sun-bingo/33772563/join-sun-vegas-deposit-match-bonus-free-spins-new-player/
34,Best casino bonus and welcome offers for UK players (July 2026),TOP DEALS,https://www.thesun.co.uk/betting/34614926/best-casino-sign-up-bonus/
35,20 Best Online Casinos UK (July 2026): Top Rated UKGC Sites,RATED,https://www.thesun.co.uk/betting/32855412/best-online-casinos-uk/
36,Lionel Messi breaks down in tears as Argentina shatter Egyptian hearts with one of World Cup's best ever comebacks,FLOODS OF TEARS,https://www.thesun.co.uk/sport/39682238/messi-tears-argentina-stuns-egypt-world-cup-comeback/
37,From star strikers to giant-killings… Kyle Walker shares World Cup highlights,WALK THE WALK,https://www.thesun.co.uk/sport/39676253/kyle-walker-world-cup-highlights/
38,Lionel Messi reveals why he burst into tears after Argentina's win over Egypt,OH TEAR,https://www.thesun.co.uk/sport/39684197/lionel-messi-argentina-penalty-miss-egypt-world-cup-crying/
39,"VAR inconsistent in Argentina vs Egypt, says ex-Prem ref, amid 'rigged' claims",VAR-CICAL,https://www.thesun.co.uk/sport/39684915/argentina-lucky-inconsistent-var-egypt-world-cup-mark-halsey/
40,I was scared of Mexico and got electrocuted – but I loved every minute of it,VIVA MEXICO,https://www.thesun.co.uk/sport/39682868/mexico-city-world-cup-journalist-electrocuted-lloyd-canfield-england/
41,World Cup 2026: Get £20 in free bets and 3 x 200% Odds Boosts with talkSPORT BET,MEGA DEAL,https://www.thesun.co.uk/sport/39287108/talksport-bet-world-cup-welcome-offer-free-bets/
42,Norway team hit by sickness with players 'coughing and rasping' days ahead of World Cup quarter-final vs England,NOR-OVIRUS,https://www.thesun.co.uk/sport/39676271/norway-team-hit-sickness-world-cup-england/
43,World Cup commentator savages former EFL club live on ITV,'LET'S NOT GO THERE',https://www.thesun.co.uk/sport/39685909/itv-commentator-andros-townsend-savages-mk-dons/
44,Bizarre moment iShowSpeed spotted trying to put off Messi as he misses penalty,LIONEL MISSI,https://www.thesun.co.uk/sport/39685610/ishowspeed-tries-put-off-messi-misses-penalty-world-cup/
45,Inside Bellingham & Haaland’s 'Heated Rivalry bromance' ahead of World Cup meet,KICKING OFF,https://www.thesun.co.uk/sport/39676904/bellingham-haaland-heated-rivalry-bromance-england-norway-world-cup/
46,Fans can get their hands on World Cup trophy thanks to LEGO's brilliant replica,TROPHY LIFE,https://www.thesun.co.uk/sport/39512083/football-fans-world-cup-trophy-lego-replica-bonus/
47,Walking treadmill reduced from £300 to under £100 in Decathlon's summer sale,STEP UP,https://www.thesun.co.uk/sport/39550931/walking-treadmill-sale-decathlon/
48,Get match-ready for summer of sport with lowest-ever prices on TVs and speakers,HOT STUFF,https://www.thesun.co.uk/sport/39556184/world-cup-tvs-speakers-deals-bargains-argos/
49,How much Red Devils were willing to pay for Mateus as club eye wonderkid,MAN UTD FILES,https://www.thesun.co.uk/sport/39635307/man-utd-transfers-mateus-fernandes-midfield/
50,Man Utd push to complete Scott transfer deal despite sky-high valuation,SCOTT TO HAPPEN,https://www.thesun.co.uk/sport/39676950/alex-scott-manchester-united-transfer/
51,England World Cup rival lined up for stunning free transfer to Man City,HOLD THE NOR,https://www.thesun.co.uk/sport/39677997/england-world-cup-orjan-nyland-man-city-free-transfer/
52,Ratcliffe introduces ruthless new three-word slogan in Man Utd rebrand,MAKE MINE A TREBLE,https://www.thesun.co.uk/sport/39663317/manchester-united-sir-jim-ratcliffe/
53,Top free agent 'puts huge European transfer on hold as he waits for rival offer',GOAL RUSH,https://www.thesun.co.uk/sport/39675097/striker-dusan-vlahovic-delays-transfer-champions-besiktas-barcelona/
54,Man Utd considering shock £50million transfer for Chelsea star Andrey Santos,AND HE'S OFF,https://www.thesun.co.uk/sport/39654057/man-utd-andrey-santos-transfer-chelsea/
55,"United 'close in' on £50m Santos, 'big money' Tchouameni move, Scott EXCLUSIVE",MAN UTD NEWS,https://www.thesun.co.uk/sport/39415482/man-utd-transfer-news-live-santos-tchouameni-scott-updates/
56,"New goalkeeper set to JOIN, Barcola 'prefers' Gunners, Trossard agrees exit",ARSENAL NEWS,https://www.thesun.co.uk/sport/39415117/arsenal-transfer-news-live-trossard-meslier-barcola-updates/
